Country,Count,Earliest,Latest
Canada,5629,2021-06-23,2021-10-11
USA,49,2021-07-12,2021-10-26
Denmark,18,2021-10-10,2021-10-27
United Kingdom,6,2021-08-09,2021-09-29
Lithuania,5,2021-09-17,2021-10-13
Netherlands,4,2021-09-08,2021-10-18
Germany,3,2021-10-14,2021-10-19
Hong Kong,1,2021-10-13,2021-10-13
Norway,1,2021-08-18,2021-08-18
Philippines,1,2021-08-26,2021-08-26
Switzerland,1,2021-09-15,2021-09-15
Turkey,1,2021-10-11,2021-10-11
